OBJECTID,PUDNAME,SPDNAME,TYPE,BASE_ZONE,OVERLAY,PROJ_NUMB,ORDINANCE,ORD_DATE,CHANG_DATE,ZONE,URL,DESCRIPTION,Shape__Area,Shape__Length
3005, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,9368.32421875,378.020203569255
3006, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,9374.6044921875,383.626763884257
3007, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,9375.8515625,385.367361739804
3008, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,9382.880859375,396.035635804429
3009, , ,R,R-1A, , , ,,,R-1A,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,9382.1748046875,379.345068384393
3010, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,778110.134765625,3771.70456453094
3011, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,781380.631835938,3785.84207847984
3012, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,791898.061523438,4941.62775897713
3013, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,803765.258789063,6181.62640251846
3014, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,488506.450195313,4440.67628158478
3015, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73585.5361328125,1118.60598832765
3016, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73726.22265625,1721.2995085102
3017, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73776.384765625,1459.45743691059
3018, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73861.8115234375,1443.76311159366
3019, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73867.314453125,1456.32543650236
3020, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73962.2119140625,1568.26467642592
3021, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,73986.01953125,1220.26073013187
3022, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74071.056640625,1436.97867024224
3023, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74242.177734375,1247.57322035785
3024, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74317.1103515625,1450.01907231286
3025, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74325.3857421875,1430.62494740497
3026, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74559.4619140625,1580.73607185853
3027, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74661.765625,1483.97285538902
3028, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,74761.2041015625,1446.84946890647
3029, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,77399.353515625,1108.78347583585
3030, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,77461.9775390625,1461.21731904364
3031, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,77501.9208984375,1265.1718047294
3032, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,77546.818359375,1157.93357749039
3033, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,77760.5615234375,1457.23421512034
3034, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,175915.149414063,1687.27050525608
3035, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176003.318359375,2127.95763440101
3036, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176261.174804688,2182.48579371662
3037, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176316.463867188,1801.11747649044
3038, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176261.833984375,1878.97149710822
3039, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176533.939453125,2309.71993787395
3040, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176530.877929688,2157.45108686309
3041, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176557.301757813,2153.98339699135
3042, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176590.30078125,2064.79446565182
3043, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176802.721679688,2142.12543523336
3044, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,176896.67578125,1961.39998935032
3045, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,296475.010742188,2594.38798320557
3046, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,355906.534179688,3241.35818861444
3047, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,127069.24609375,1485.95539473744
3048, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,242195.491210938,2424.72622439375
3049, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,21156.80859375,699.644937744686
3050, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,244170.661132813,2722.16794384598
3051, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,148064.927734375,1798.54941781195
3052, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,62397.3232421875,1120.00920374623
3053, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,818891.442382813,5777.34301589896
3054, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,824649.229492188,7630.59540244888
3055, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,832151.528320313,5489.67789035056
3056, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,19567.0498046875,646.818862403929
3057, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,16715.08984375,530.65058908443
3058, , ,C,OB, , , ,,,OB,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-i&frames=on,Low-Rise Mixed-Use Zone,8825.4833984375,376.779578063249
3059,DEL PASO ROAD, ,C,EC,PUD, , ,,,EC-40-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,818700.244140625,3626.15171108175
3060,NATOMAS CROSSING, ,C,SC,PUD,P04-131,2005-073,09/27/2005,11/21/2005,SC-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-v&frames=on,Shopping Center Zone,281209.66796875,2110.10365494685
3061,NATOMAS CROSSING, ,C,EC,PUD,P00-095,2001-036,09/04/2001,,EC-40-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,145328.896484375,1547.5532624012
3062,CAMBAY WEST & GATEWAY WEST, ,C,EC,PUD,P00-023,97-053,08/26/1997,01/25/2006,EC-50-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,960387.912109375,4053.03093454401
3063,CAMBAY WEST & GATEWAY WEST, ,C,EC,PUD,P96-106,97-053,08/26/1997,01/25/2006,EC-50-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,1611159.40332031,5968.51047988726
3064,COMMERCE STATION, ,C,EC,PUD,P06-018,2008-025,05/20/2008,06/17/2008,EC-50-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,2142568.06347656,8255.11430666402
3065,COMMERCE STATION, ,O,A-OS,PUD,P06-018,2008-025,05/20/2008,06/17/2008,A-OS-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_200-ii&frames=on,Agricultural-Open Space Zone,185498.483398438,1862.11036883517
3066, ,Alhambra Corridor,R,R-1,SPD, , ,,06/17/2008,R-1-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,79933.318359375,1130.97280142761
3067,NATOMAS CROSSING, ,C,SC,PUD,P01-028,2009-037,08/11/2009,09/22/2009,SC-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-v&frames=on,Shopping Center Zone,1620154.20117188,5339.43231448258
3068, , ,C,C-2,TO,M09-020,2011-023,04/12/2011,05/17/2011,C-2-TO,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,249004.573242188,3136.99326798969
3069, , ,C,C-2, ,M09-020,2011-023,04/12/2011,05/17/2011,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,62011.779296875,1001.41253074787
3070, , ,C,C-2, ,M09-020,2011-023,04/12/2011,05/17/2011,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,89659.8828125,1202.08084648238
3071, , ,C,C-2, ,M09-020,2011-023,04/12/2011,05/17/2011,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,90026.0458984375,1196.32897809581
3072, , ,R,RMX, ,M09-020,2011-023,04/12/2011,05/17/2011,RMX,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_212-i&frames=on,Residential Mixed Use Zone,67318.6845703125,1038.89954842165
3073, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,314183.767578125,2403.19564829724
3074, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,32326.0771484375,749.12363516127
3075, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,1862950.49121094,10403.7305280223
3076, , ,R,RMX, ,M09-020,2011-023,04/12/2011,05/17/2011,RMX,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_212-i&frames=on,Residential Mixed Use Zone,163638.731445313,1743.77212209749
3077, , ,R,RMX, ,M09-020,2011-023,04/12/2011,05/17/2011,RMX,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_212-i&frames=on,Residential Mixed Use Zone,163201.427734375,1739.82898046844
3078, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,177038.576171875,1708.72012301044
3079, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,140481.125,1746.19903134172
3080, , ,R,RMX, ,M09-020,2011-023,04/12/2011,05/17/2011,RMX,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_212-i&frames=on,Residential Mixed Use Zone,81015.712890625,1140.06245969222
3081, , ,R,RMX, ,M09-020,2011-023,04/12/2011,05/17/2011,RMX,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_212-i&frames=on,Residential Mixed Use Zone,83602.435546875,1157.65777688468
3082, , ,C,C-2, ,M09-020,2011-023,04/12/2011,05/17/2011,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,79630.4306640625,1129.42144941819
3083, , ,C,C-2, ,M09-020,2011-023,04/12/2011,05/17/2011,C-2,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-vii&frames=on,General Commercial Zone,177396.208984375,1794.61972610114
3084, , ,I,M-1,R,M09-020,2011-023,04/12/2011,05/17/2011,M-1-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,196725.448242188,2179.19311698978
3085, , ,I,M-1, , , ,,,M-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_220-i&frames=on,Light Industrial Zone,189012.014648438,2721.08433727306
3086, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,284919.4609375,3049.11827122247
3087, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,285360.684570313,2829.58112815448
3088, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,285878.18359375,3090.33920001879
3089, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,285900.166992188,2738.12450186422
3090, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,286199.087890625,2136.22424810903
3091, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,286208.873046875,3321.96367035356
3092, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,286398.973632813,2879.77218557571
3093, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,49094.3349609375,887.602310482267
3094, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,49156.8193359375,1053.24336754441
3095, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,49238.8076171875,964.475002891929
3096, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,171765.9296875,3254.27579700312
3097, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,76984.650390625,1209.94492340877
3098, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,331056.416992188,4488.03372313305
3099, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,158666.155273438,3096.72193442763
3100, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,7984.1015625,364.779889291839
3101,NATOMAS CROSSING, ,C,EC,PUD,P01-028,2002-024,06/25/2002,,EC-50-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,1087881.88671875,5808.99536102985
3102,NATOMAS CROSSING, ,C,EC,PUD,P01-028,2002-024,06/25/2002,,EC-50-PUD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_216-iv&frames=on,Employment Center Zone,321766.418945313,2302.15792433316
3103, , ,R,R-2B,R,M83-003,86-081,08/19/1986,01/19/2006,R-2B-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_208-ii&frames=on,Multi-Unit Dwelling Zone,126649.96484375,1872.3165164409
3104, , ,O,F, , , ,,,F,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_200-iii&frames=on,Flood Zone,687681.919921875,10524.4535329707
3105, , ,O,H,R, , ,,,H-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,1805472.72167969,6090.53871563126
3106, , ,O,H,R, , ,,,H-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,72390.1181640625,1537.95706190139
3107, , ,O,H,R, , ,,,H-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,137467.801757813,1541.09158614797
3108, ,Central City,O,H,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,H-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,27557.201171875,664.061492603346
3109, ,Central City,O,H,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,H-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,13221.0986328125,488.94517394564
3110, ,Central City,O,H,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,H-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,52379.0087890625,971.30967375176
3111, ,Central City,O,H,SPD,LR16-006,2018-0012,04/19/2018,06/06/2018,H-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,110870.025390625,1332.36923939711
3112, , ,O,H, , , ,,,H,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,115526.249023438,1371.31956622827
3113, , ,O,H, , , ,,,H,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,224495.48046875,1950.33200273463
3114, , ,O,H, , , ,,,H,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_224-i&frames=on,Hospital Zone,68312.5458984375,1105.56962248993
3115, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,48566.65234375,853.270795679052
3116, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,125951.521484375,1700.39375281777
3117, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,104085.338867188,1373.46803591294
3118, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,198824.077148438,2242.59989487482
3119, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,13964.7724609375,554.365965921025
3120, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,213392.706054688,2099.09314480213
3121, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,288939.182617188,3289.9925729344
3122, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,109565.068359375,1369.1890899534
3123, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,109813.845703125,1387.6009410381
3124, , ,R,R-1,EA-4, , ,,01/17/2012,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,148642.143554688,1712.20234819796
3125, , ,R,R-1,EA-4, , ,,,R-1-EA-4,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,119980.98828125,1436.5369930249
3126, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,52746.931640625,1335.48506968972
3127, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,52839.369140625,1114.35364247091
3128, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,113332.01953125,2411.84229092169
3129, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,287650.626953125,3012.098883111
3130, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,287801.291992188,3223.87007781858
3131, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,287967.849609375,3419.69524262186
3132, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,288047.600585938,2830.52524805032
3133, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,288255.939453125,3142.40935694505
3134, , ,R,R-1, , , ,,,R-1,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-ii&frames=on,Single-Unit Dwelling Zone,288332.1015625,2935.47946854108
3135, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,764113.303710938,5173.74087651575
3136, , ,R,R-1A,R, , ,,,R-1A-R,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,747409.006835938,3467.0184579501
3137, ,Alhambra Corridor,R,R-1A,SPD, , ,,,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,8218.2080078125,365.341383436716
3138, ,Alhambra Corridor,R,R-1A,SPD, , ,,,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,13404.947265625,541.082573694911
3139, ,Del Paso Nuevo,R,R-1A,SPD, , ,,,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,150767.37890625,1685.64927388984
3140, ,Del Paso Nuevo,R,R-1A,SPD, , ,,,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,71711.177734375,1068.82539943152
3141, ,Del Paso Nuevo,R,R-1A,SPD, , ,,,R-1A-SPD,http://www.qcode.us/codes/sacramento/view.php?topic=17-ii-17_204-iii&frames=on,Single-Unit or Duplex Dwelling Zone,71217.7900390625,1067.09513274248
